order_id,symbol,side_label,side_code,order_event_ts_utc8,order_event_ts_utc,order_stage,order_model,size,entry_price,linked_decision_log_id,linked_decision_stage,linked_decision_ts_utc8,linked_decision_ts_utc,linked_action,linked_reason,linked_selected_over_corrected,match_type
717145863834567411,cmt_solusdt,LONG_SIDE,LONG,2026-02-13T19:08:17.943+08:00,2026-02-13T11:08:17.943Z,Exit Execution,SDM:Straddle,29.313740615071772,80.17,d816e7f0-7448-4183-8fc1-ed7c0caf4e98,Exit Decision,2026-02-13T19:08:17.258+08:00,2026-02-13T11:08:17.258Z,close_hedge_force_unblock,,,nearest_exit_decision_symbol
717145866657334003,cmt_solusdt,SHORT_SIDE,SHORT,2026-02-13T19:08:18.617+08:00,2026-02-13T11:08:18.617Z,Exit Execution,SDM:Straddle,29.313740615071772,80.17,d816e7f0-7448-4183-8fc1-ed7c0caf4e98,Exit Decision,2026-02-13T19:08:17.258+08:00,2026-02-13T11:08:17.258Z,close_hedge_force_unblock,,,nearest_exit_decision_symbol
717147477102297843,cmt_solusdt,LONG_SIDE,LONG,2026-02-13T19:14:42.578+08:00,2026-02-13T11:14:42.578Z,Exit Execution,SDM:Straddle,24.399800028765053,80.09,91a42185-3295-4996-a29d-8ba228d436da,Exit Decision,2026-02-13T19:14:41.902+08:00,2026-02-13T11:14:41.902Z,close_hedge_force_unblock,,,nearest_exit_decision_symbol
717147479967007475,cmt_solusdt,SHORT_SIDE,SHORT,2026-02-13T19:14:43.260+08:00,2026-02-13T11:14:43.260Z,Exit Execution,SDM:Straddle,24.399800028765053,80.09,91a42185-3295-4996-a29d-8ba228d436da,Exit Decision,2026-02-13T19:14:41.902+08:00,2026-02-13T11:14:41.902Z,close_hedge_force_unblock,,,nearest_exit_decision_symbol
717147803620475635,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T19:16:00.425+08:00,2026-02-13T11:16:00.425Z,Exit Execution,SDM:Straddle,400.0,0.2606,894ccf67-6289-4a88-8bb5-ecc3a1aee1d6,Exit Decision,2026-02-13T19:15:56.842+08:00,2026-02-13T11:15:56.842Z,close_runner,,,nearest_exit_decision_symbol
717150956608815859,cmt_solusdt,LONG_SIDE,LONG,2026-02-13T19:28:32.156+08:00,2026-02-13T11:28:32.156Z,Exit Execution,SDM:Straddle,24.78947861524442,79.98,fe6e67ee-63be-4c7b-bb96-0d09b2818594,Exit Decision,2026-02-13T19:28:31.476+08:00,2026-02-13T11:28:31.476Z,close_hedge_force_unblock,,,nearest_exit_decision_symbol
717150959645491955,cmt_solusdt,SHORT_SIDE,SHORT,2026-02-13T19:28:32.880+08:00,2026-02-13T11:28:32.880Z,Exit Execution,SDM:Straddle,24.78947861524442,79.98,fe6e67ee-63be-4c7b-bb96-0d09b2818594,Exit Decision,2026-02-13T19:28:31.476+08:00,2026-02-13T11:28:31.476Z,close_hedge_force_unblock,,,nearest_exit_decision_symbol
717152422060884723,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T19:34:21.547+08:00,2026-02-13T11:34:21.547Z,Exit Execution,SDM:Straddle,400.0,0.2606,f55db3c3-be8c-49d0-b021-d65fee8c7d49,Exit Decision,2026-02-13T19:34:17.916+08:00,2026-02-13T11:34:17.916Z,close_runner,,,nearest_exit_decision_symbol
717153083020280563,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T19:36:59.131+08:00,2026-02-13T11:36:59.131Z,Exit Execution,SDM:Straddle,400.0,0.2606,bf5fd9d3-ec0b-4193-9424-ac482dbfac28,Exit Decision,2026-02-13T19:36:55.530+08:00,2026-02-13T11:36:55.530Z,close_runner,,,nearest_exit_decision_symbol
717153131514823411,cmt_solusdt,LONG_SIDE,LONG,2026-02-13T19:37:10.696+08:00,2026-02-13T11:37:10.696Z,Exit Execution,SDM:Straddle,24.1,80.05,868de08f-4480-4876-b07e-727c5fb6445c,Exit Decision,2026-02-13T19:37:10.002+08:00,2026-02-13T11:37:10.002Z,close_hedge_force_unblock,,,nearest_exit_decision_symbol
717153134513750771,cmt_solusdt,SHORT_SIDE,SHORT,2026-02-13T19:37:11.410+08:00,2026-02-13T11:37:11.410Z,Exit Execution,SDM:Straddle,24.1,80.05,868de08f-4480-4876-b07e-727c5fb6445c,Exit Decision,2026-02-13T19:37:10.002+08:00,2026-02-13T11:37:10.002Z,close_hedge_force_unblock,,,nearest_exit_decision_symbol
717160127886525171,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T20:04:58.759+08:00,2026-02-13T12:04:58.759Z,Exit Execution,SDM:Straddle,400.0,0.2606,9724d31f-4fb7-42ff-ad0c-16d4deddf053,Exit Decision,2026-02-13T20:04:55.171+08:00,2026-02-13T12:04:55.171Z,close_runner,,,nearest_exit_decision_symbol
717160276998226675,cmt_solusdt,LONG_SIDE,LONG,2026-02-13T20:05:34.310+08:00,2026-02-13T12:05:34.310Z,Exit Execution,SDM:Straddle,24.336176090649218,79.96,873d4efc-850a-4420-abae-f5ced2c63482,Exit Decision,2026-02-13T20:05:33.624+08:00,2026-02-13T12:05:33.624Z,close_hedge_force_unblock,,,nearest_exit_decision_symbol
717160279816798963,cmt_solusdt,SHORT_SIDE,SHORT,2026-02-13T20:05:34.982+08:00,2026-02-13T12:05:34.982Z,Exit Execution,SDM:Straddle,24.336176090649218,79.96,873d4efc-850a-4420-abae-f5ced2c63482,Exit Decision,2026-02-13T20:05:33.624+08:00,2026-02-13T12:05:33.624Z,close_hedge_force_unblock,,,nearest_exit_decision_symbol
717161040755819251,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T20:08:36.404+08:00,2026-02-13T12:08:36.404Z,Exit Execution,SDM:Straddle,400.0,0.2606,566aaede-5a43-4f02-b323-6b1c09e842bf,Exit Decision,2026-02-13T20:08:32.779+08:00,2026-02-13T12:08:32.779Z,close_runner,,,nearest_exit_decision_symbol
717161190433751795,cmt_solusdt,LONG_SIDE,LONG,2026-02-13T20:09:12.089+08:00,2026-02-13T12:09:12.089Z,Exit Execution,SDM:Straddle,28.774013844867802,79.94,edbd8587-a320-4014-b8e1-4dde2d56d0cc,Exit Decision,2026-02-13T20:09:11.419+08:00,2026-02-13T12:09:11.419Z,close_hedge_force_unblock,,,nearest_exit_decision_symbol
717161193269101299,cmt_solusdt,SHORT_SIDE,SHORT,2026-02-13T20:09:12.766+08:00,2026-02-13T12:09:12.766Z,Exit Execution,SDM:Straddle,28.774013844867802,79.94,edbd8587-a320-4014-b8e1-4dde2d56d0cc,Exit Decision,2026-02-13T20:09:11.419+08:00,2026-02-13T12:09:11.419Z,close_hedge_force_unblock,,,nearest_exit_decision_symbol
717167963404239603,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T20:36:06.894+08:00,2026-02-13T12:36:06.894Z,Exit Execution,SDM:Straddle,400.0,0.2606,a5e971f0-6195-4d1d-9103-651de0dd8c81,Exit Decision,2026-02-13T20:36:03.126+08:00,2026-02-13T12:36:03.126Z,close_runner,,,nearest_exit_decision_symbol
717168112977314547,cmt_solusdt,LONG_SIDE,LONG,2026-02-13T20:36:42.554+08:00,2026-02-13T12:36:42.554Z,Exit Execution,SDM:Straddle,32.33963981774569,79.9,9d45e9b9-3c6e-4bd3-8755-456ba470a0ca,Exit Decision,2026-02-13T20:36:41.865+08:00,2026-02-13T12:36:41.865Z,close_hedge_force_unblock,,,nearest_exit_decision_symbol
